,Channel Name,Video Title,Number of Views,Posted on,Url
0,Krish Naik,How 5  Years Career Gap Student Made A Transition to Data Science- Ft: @iNeuron Intelligence,2.4K views,3 hours ago,https://www.youtube.com/watch?v=FzwJoHawwwI
1,Krish Naik,Live Q&A- Ask Anything Related Data Science,7.9K views,Streamed 1 day ago,https://www.youtube.com/watch?v=hCTbdXh9P5I
2,Krish Naik,Last Day To Avail 30% off On All Courses @iNeuron Intelligence,2.9K views,1 day ago,https://www.youtube.com/watch?v=2CRY5BYf-js
3,Krish Naik,Why Statistics Is Super Important For Data Science? Must Watch,10K views,4 days ago,https://www.youtube.com/watch?v=pZakG-kIt_o
4,Krish Naik,Solving FAANG DSA Interview Questions With Its Implementation,5.5K views,4 days ago,https://www.youtube.com/watch?v=4VVhwfVf1k8
5,Krish Naik,End To End Data Science Industry Ready Projects Course Announcement- Be Industry Ready⭐⭐⭐⭐,13K views,5 days ago,https://www.youtube.com/watch?v=ngBPXUaScCw
6,Krish Naik,Neuro Labs Demo-Dont Worry About High Configuration Laptops @iNeuron Intelligence​,7.2K views,5 days ago,https://www.youtube.com/watch?v=dPARXQO8dkw
7,Krish Naik,Full Stack Data Science Bootcamp 2.0 With Job Guaranteed Course Announcement,11K views,6 days ago,https://www.youtube.com/watch?v=tpXu2DnK9HA
8,Krish Naik,Messages From Our Students -Teachers Day@Telusko @MySirG.com @Hitesh Choudhary @Mahatmaji Technical,4K views,6 days ago,https://www.youtube.com/watch?v=58RsdQXG0IA
9,Krish Naik,Neuro Lab Launch Celebration- Live 7PM,7.6K views,Streamed 7 days ago,https://www.youtube.com/watch?v=COTMO2sYJh0
10,Krish Naik,How 5  Years Career Gap Student Made A Transition to Data Science- Ft: @iNeuron Intelligence,2.5K views,3 hours ago,https://www.youtube.com/watch?v=FzwJoHawwwI
11,Krish Naik,Live Q&A- Ask Anything Related Data Science,7.9K views,Streamed 1 day ago,https://www.youtube.com/watch?v=hCTbdXh9P5I
12,Krish Naik,Last Day To Avail 30% off On All Courses @iNeuron Intelligence,2.9K views,1 day ago,https://www.youtube.com/watch?v=2CRY5BYf-js
13,Krish Naik,Why Statistics Is Super Important For Data Science? Must Watch,10K views,4 days ago,https://www.youtube.com/watch?v=pZakG-kIt_o
14,Krish Naik,Solving FAANG DSA Interview Questions With Its Implementation,5.5K views,4 days ago,https://www.youtube.com/watch?v=4VVhwfVf1k8
15,Krish Naik,End To End Data Science Industry Ready Projects Course Announcement- Be Industry Ready⭐⭐⭐⭐,13K views,5 days ago,https://www.youtube.com/watch?v=ngBPXUaScCw
16,Krish Naik,Neuro Labs Demo-Dont Worry About High Configuration Laptops @iNeuron Intelligence​,7.2K views,5 days ago,https://www.youtube.com/watch?v=dPARXQO8dkw
17,Krish Naik,Full Stack Data Science Bootcamp 2.0 With Job Guaranteed Course Announcement,11K views,6 days ago,https://www.youtube.com/watch?v=tpXu2DnK9HA
18,Krish Naik,Messages From Our Students -Teachers Day@Telusko @MySirG.com @Hitesh Choudhary @Mahatmaji Technical,4K views,6 days ago,https://www.youtube.com/watch?v=58RsdQXG0IA
19,Krish Naik,Neuro Lab Launch Celebration- Live 7PM,7.6K views,Streamed 7 days ago,https://www.youtube.com/watch?v=COTMO2sYJh0
20,Krish Naik,How 5  Years Career Gap Student Made A Transition to Data Science- Ft: @iNeuron Intelligence,2.7K views,3 hours ago,https://www.youtube.com/watch?v=FzwJoHawwwI
21,Krish Naik,Live Q&A- Ask Anything Related Data Science,7.9K views,Streamed 1 day ago,https://www.youtube.com/watch?v=hCTbdXh9P5I
22,Krish Naik,Last Day To Avail 30% off On All Courses @iNeuron Intelligence,2.9K views,1 day ago,https://www.youtube.com/watch?v=2CRY5BYf-js
23,Krish Naik,Why Statistics Is Super Important For Data Science? Must Watch,10K views,4 days ago,https://www.youtube.com/watch?v=pZakG-kIt_o
24,Krish Naik,Solving FAANG DSA Interview Questions With Its Implementation,5.5K views,4 days ago,https://www.youtube.com/watch?v=4VVhwfVf1k8
25,Krish Naik,End To End Data Science Industry Ready Projects Course Announcement- Be Industry Ready⭐⭐⭐⭐,13K views,5 days ago,https://www.youtube.com/watch?v=ngBPXUaScCw
26,Krish Naik,Neuro Labs Demo-Dont Worry About High Configuration Laptops @iNeuron Intelligence​,7.2K views,5 days ago,https://www.youtube.com/watch?v=dPARXQO8dkw
