,Title,Views,Date,Channel,Subscribers,Description,Likes
0,,,,Krish Naik,648K subscribers,,20
1,,,,Krish Naik,648K subscribers,,20
2,Live Q&A Upcoming Courses In OneNeuron- Ask Anything,639 views,Streamed live 15 hours ag,Krish Naik,648K subscribers,"Enroll Now And Get Lifetime Subscription
OneNeuron Link: https://one-neuron.ineuron.ai/
Direct call to our Team incase of any queries 
8788503778
6260726925
9538303385
8660034247",20
3,Live Q&A Upcoming Courses In OneNeuron- Ask Anything,654 views,Streamed live 16 hours ag,Krish Naik,648K subscribers,"Enroll Now And Get Lifetime Subscription
OneNeuron Link: https://one-neuron.ineuron.ai/
Direct call to our Team incase of any queries 
8788503778
6260726925
9538303385
8660034247",21
4,Live Q&A- Ask Anything Related Data Science,"5,642 views",Streamed live 7 hours ago,Krish Naik,648K subscribers,"Last 4 hours for the offering of 30% off on all the courses  @iNeuron Intelligence  . Use Krish30 as the coupon code. Happy Learning!!
Check out all the courses link below. This offer is valid till 11th September
Data Science Industry Ready Projects :",312
5,Use This Way Of Training Machine Learning Models For Efficiency,"12,428 views","Aug 20, 2022",Krish Naik,648K subscribers,"Check our courses
TechNeuron: 200+courses Lifetime Warranty

Course url: ",1.1K
6,Why Statistics Is Super Important For Data Science? Must Watch,"10,058 views","Sep 8, 2022",Krish Naik,649K subscribers,"Complete Stats Playlist: https://www.youtube.com/watch?v=11unm...

Happy Teacher's Day. On the occasion of this auspicious day we at @iNeuron Intelligence are offering 30% off on all the courses. Use Krish30 as the coupon code. Happy Learning!!
Check out all the courses link below. This offer is valid till 10th September
FSDS Bootcamp 2.0 With Job Guaranteed: ",334
7,,,,Krish Naik,649K subscribers,,121
8,,,,Krish Naik,649K subscribers,,121
9,Messages From Our Students -Teachers Day@Telusko @MySirG.com @Hitesh Choudhary @Mahatmaji Technical,"4,038 views","Sep 6, 2022",Krish Naik,649K subscribers,"Happy Teacher's Day. On the occasion of this auspicious day we at @iNeuron Intelligence are offering 30% off on all the courses. Use Krish30 as the coupon code. Happy Learning!!

Visit : ",121
